date,amount,month,quarter,year,week_of_year,week_of_month,lag_1,lag_2,lag_4,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,rolling_mean_12,rolling_std_12,pct_change
2022-06-05,425.0,6,2,2022,22,1,267.0,82.0,1110.0,482.25,447.4940409286658,454.6125,400.5040054641866,484.3416666666667,421.86288694170264,0.5917602996254681
2022-06-12,80.0,6,2,2022,23,2,425.0,267.0,470.0,311.0,175.74033875768666,467.7375,397.16899223486365,512.2583333333333,404.10566228138737,-0.8117647058823529
2022-06-19,165.0,6,2,2022,24,3,80.0,425.0,82.0,213.5,166.04115955589594,435.2375,419.1447003379962,453.0916666666667,411.65008852032054,1.0625
2022-06-26,530.0,6,2,2022,25,4,165.0,80.0,267.0,234.25,148.3764918487196,329.25,354.4096701357262,455.5916666666667,409.62879528207276,2.212121212121212
2022-07-03,820.0,7,3,2022,26,1,530.0,165.0,425.0,300.0,212.24985276791077,391.125,338.5542528795897,403.075,346.6359031003304,0.5471698113207548
2022-07-10,95.0,7,3,2022,27,2,820.0,530.0,80.0,398.75,342.0130358139386,354.875,256.06162065297593,444.7416666666666,365.29099348908437,-0.8841463414634146
2022-07-17,64.0,7,3,2022,28,3,95.0,820.0,165.0,402.5,337.404307421625,308.0,266.1030949516692,424.325,378.2926888126319,-0.3263157894736842
2022-07-24,439.2,7,3,2022,29,4,64.0,95.0,530.0,377.25,363.84554873370803,305.75,268.35357805913975,345.25,341.4592016092642,5.8625
2022-07-31,675.0,7,3,2022,30,5,439.2,64.0,820.0,354.55,353.8336850367224,327.275,271.68685624656706,378.93333333333334,327.7325665104323,0.5368852459016393
2022-08-07,455.0,8,3,2022,31,1,675.0,439.2,95.0,318.3,292.3371797542462,358.525,297.66861608170916,342.68333333333334,255.6494824535885,-0.32592592592592595
2022-08-14,10.0,8,3,2022,32,2,455.0,675.0,64.0,408.3,253.5133658540836,405.4,276.3019466349915,341.43333333333334,255.006236406211,-0.978021978021978
2022-08-21,333.0,8,3,2022,33,3,10.0,455.0,439.2,394.8,278.19566255904573,386.025,299.9869604309017,335.43333333333334,262.40502812994754,32.3
2022-08-28,585.0,8,3,2022,34,4,333.0,10.0,675.0,368.25,277.6128899504964,361.4,294.5158157286051,340.93333333333334,261.53049303643076,0.7567567567567568
2022-09-04,915.0,9,3,2022,35,1,585.0,333.0,455.0,345.75,246.35120593710607,332.025,250.70097013887158,354.26666666666665,270.1427546294508,0.5641025641025641
2022-09-11,345.0,9,3,2022,36,2,915.0,585.0,10.0,460.75,383.52607473286577,434.525,302.2737252888514,423.84999999999997,299.06608725406227,-0.6229508196721312
2022-09-18,509.0,9,3,2022,37,3,345.0,915.0,333.0,544.5,272.912073752701,469.65,267.3792544575696,438.84999999999997,289.2560630306647,0.4753623188405798
2022-09-25,820.0,9,3,2022,38,4,509.0,345.0,585.0,588.5,239.60175291512314,478.375,267.3825175928406,437.09999999999997,288.71749639963383,0.6110019646365423
2022-10-02,1229.0,10,4,2022,39,1,820.0,509.0,915.0,647.25,265.8324973863549,496.5,286.82299170643313,437.09999999999997,288.71749639963383,0.49878048780487805
2022-10-09,34.0,10,4,2022,40,2,1229.0,820.0,345.0,725.75,389.0564440626403,593.25,384.67453775886975,531.6,346.3899431670508,-0.9723352318958502
2022-10-16,85.0,10,4,2022,41,3,34.0,1229.0,509.0,648.0,504.467375886026,596.25,379.5353362054336,529.1,350.15930400578833,1.5
2022-10-23,290.0,10,4,2022,42,4,85.0,34.0,820.0,542.0,581.9982817844051,565.25,412.7810730710825,499.5833333333333,372.6337364157349,2.411764705882353
2022-10-30,89.0,10,4,2022,43,5,290.0,85.0,1229.0,409.5,557.4229393677059,528.375,423.7944034889695,467.5,372.731563168211,-0.693103448275862
2022-11-06,740.0,11,4,2022,44,1,89.0,290.0,34.0,124.5,113.13855811938389,425.125,416.7045673238673,437.0,388.4889140807447,7.314606741573034
2022-11-13,594.0,11,4,2022,45,2,740.0,89.0,85.0,301.0,307.9188204705906,474.5,429.07242145952813,497.8333333333333,372.36732434845044,-0.19729729729729728
2022-11-20,509.0,11,4,2022,46,3,594.0,740.0,290.0,428.25,293.7486170180207,485.125,431.09642192901583,519.5833333333334,369.47541641269345,-0.14309764309764306
2022-11-27,130.0,11,4,2022,47,4,509.0,594.0,89.0,483.0,279.4530371994546,446.25,410.0953721827574,513.25,368.90307300526405,-0.7445972495088409
2022-12-04,155.0,12,4,2022,48,1,130.0,509.0,740.0,493.25,260.27853669994846,308.875,270.8686753497241,447.8333333333333,360.69499412644836,0.1923076923076923
