date,amount,month,quarter,year,week_of_year,week_of_month,lag_1,lag_2,lag_4,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,rolling_mean_12,rolling_std_12,pct_change
2021-09-12,560.0,9,3,2021,36,2,35.0,348.0,140.0,205.75,144.44924137336184,172.25,114.48237543706344,1007.1666666666666,1880.8975049806472,15.0
2021-09-19,670.0,9,3,2021,37,3,560.0,35.0,300.0,310.75,215.76742880550697,229.125,173.9018093227117,703.9166666666666,1590.430499658009,0.1964285714285714
2021-09-26,200.0,9,3,2021,38,4,670.0,560.0,348.0,403.25,279.5155034460032,307.25,214.9197524658879,282.3333333333333,200.2404615062679,-0.7014925373134329
2021-10-03,35.0,10,4,2021,39,1,200.0,670.0,35.0,366.25,298.42293812642157,302.875,216.947286224093,264.0,196.5271204971717,-0.825
2021-10-10,45.0,10,4,2021,40,2,35.0,200.0,560.0,366.25,298.42293812642157,286.0,233.38686460773042,236.91666666666666,204.33371026709207,0.2857142857142858
2021-10-17,175.0,10,4,2021,41,3,45.0,35.0,670.0,237.5,298.06319240502177,274.125,244.05001682910049,231.91666666666666,208.5458128580069,2.888888888888889
2021-10-24,1208.0,10,4,2021,42,4,175.0,45.0,200.0,113.75,85.8656896942737,258.5,246.14919981878282,242.75,201.2005444597749,5.902857142857143
2021-10-31,351.0,10,4,2021,43,5,1208.0,175.0,35.0,365.75,565.1096501270109,366.0,418.36689298133484,323.8333333333333,343.51811738203514,-0.7094370860927153
2021-11-07,3274.0,11,4,2021,44,1,351.0,1208.0,45.0,444.75,524.0562151779832,405.5,397.0242885697099,338.9166666666667,340.1062556783039,8.327635327635328
2021-11-21,3848.0,11,4,2021,46,3,3274.0,351.0,175.0,1252.0,1421.5191404503391,744.75,1094.6033528178134,600.0833333333334,905.9924200298342,0.17532070861331706
2021-11-28,339.0,11,4,2021,47,4,3848.0,3274.0,1208.0,2170.25,1660.1912289452287,1142.0,1546.8497018133337,895.75,1294.7071360666157,-0.9119022869022869
2021-12-05,1388.0,12,4,2021,48,1,339.0,3848.0,351.0,1953.0,1871.4936993392923,1159.375,1535.4960982878276,895.0,1295.055842951815,3.0943952802359886
2021-12-12,5160.0,12,4,2021,49,2,1388.0,339.0,3274.0,2212.25,1632.1197617413584,1328.5,1466.9434695505965,1007.75,1272.0693323729004,2.717579250720461
2021-12-19,935.0,12,4,2021,50,3,5160.0,1388.0,3848.0,2683.75,2210.8906764770923,1967.875,1883.2372915882295,1391.0833333333333,1734.0737877942654,-0.8187984496124031
2021-12-26,342.0,12,4,2021,51,4,935.0,5160.0,339.0,1955.5,2179.0953015720393,2062.875,1797.073369795616,1413.1666666666667,1725.7232914890726,-0.6342245989304813
2022-01-02,205.0,1,1,2022,52,1,342.0,935.0,1388.0,1956.25,2178.35387008937,1954.625,1880.0898107347346,1425.0,1717.11369878219,-0.4005847953216374
2022-01-09,878.0,1,1,2022,1,2,205.0,342.0,5160.0,1660.5,2354.4123824569624,1936.375,1898.4984245074163,1439.1666666666667,1705.26366041007,3.282926829268293
2022-01-16,311.0,1,1,2022,2,3,878.0,205.0,935.0,590.0,370.44927677979433,1636.875,1845.5889062069818,1508.5833333333333,1659.697368817763,-0.6457858769931664
2022-01-23,3685.9,1,1,2022,3,4,311.0,878.0,342.0,434.0,301.75597204806576,1194.75,1653.9331261312482,1519.9166666666667,1650.2002334886697,10.85176848874598
2022-01-30,55.0,1,1,2022,4,5,3685.9,311.0,205.0,1269.975,1637.492270465219,1613.1125,1821.371787133062,1726.4083333333335,1759.062121213426,-0.9850782712498982
2022-02-06,144.0,2,1,2022,5,1,55.0,3685.9,878.0,1232.475,1671.3777059160918,1446.4875,1904.0068317985922,1701.7416666666668,1782.027736983571,1.6181818181818182
2022-02-13,700.0,2,1,2022,6,2,144.0,55.0,311.0,1048.975,1761.1498712962143,819.4875,1203.445096898898,1440.9083333333335,1759.9071749582977,3.8611111111111107
2022-02-20,375.0,2,1,2022,7,3,700.0,144.0,3685.9,1146.225,1717.0025050942718,790.1125,1203.090764225328,1178.575,1595.4205898160803,-0.4642857142857143
2022-02-27,732.0,2,1,2022,8,4,375.0,700.0,55.0,318.5,287.8755518159549,794.2375,1201.3902160622076,1181.575,1593.7313005676615,0.952
2022-03-06,110.0,3,1,2022,9,1,732.0,375.0,144.0,487.75,280.2289242744347,860.1125,1178.6993866576586,1126.9083333333333,1597.2538680545279,-0.8497267759562841
2022-03-13,90.0,3,1,2022,10,2,110.0,732.0,700.0,479.25,294.2939290346872,764.1125,1207.9466939959364,706.0749999999999,986.5681998496328,-0.18181818181818177
2022-03-20,800.0,3,1,2022,11,3,90.0,110.0,375.0,326.75,299.77032875187496,736.4875,1222.232039505124,635.6583333333333,998.823153387237,7.888888888888889
2022-03-27,135.0,3,1,2022,12,4,800.0,90.0,732.0,433.0,385.60255877436845,375.75,320.9150978062544,673.8249999999999,995.3262253013969,-0.83125
2022-04-03,1115.2,4,2,2022,13,1,135.0,800.0,110.0,283.75,344.6586475534026,385.75,310.5721678266893,667.9916666666667,998.5236560755203,7.260740740740742
2022-04-10,320.0,4,2,2022,14,2,1115.2,135.0,90.0,535.05,504.9363095150451,507.15,383.76630909968884,687.7583333333333,1005.3831268439033,-0.7130559540889527
2022-04-17,376.0,4,2,2022,15,3,320.0,1115.2,800.0,592.55,447.15173785491794,459.65,379.9849733871037,688.5083333333333,1005.0798317079398,0.17500000000000004
2022-04-24,2222.9,4,2,2022,16,4,376.0,320.0,135.0,486.55,431.56630622266323,459.775,379.95331198150143,412.6833333333334,345.41037999177246,4.911968085106383
2022-05-01,35.0,5,2,2022,17,1,2222.9,376.0,1115.2,1008.5250000000001,886.9875511151997,646.1375,733.6023736865698,593.3416666666667,608.2530461132607,-0.9842548022853029
2022-05-08,1200.0,5,2,2022,18,2,35.0,2222.9,320.0,738.475,1000.8170174912126,636.7625,741.8653708004271,584.2583333333333,616.3335024869884,33.285714285714285
2022-05-15,650.0,5,2,2022,19,3,1200.0,35.0,376.0,958.4749999999999,974.5405939039545,775.5125,728.6802501538543,625.9250000000001,641.2661610580911,-0.45833333333333337
2022-05-22,80.0,5,2,2022,20,4,650.0,1200.0,2222.9,1026.975,928.4931892588149,756.7625,729.8889933945911,648.8416666666667,636.3789143674663,-0.8769230769230769
2022-05-29,262.0,5,2,2022,21,5,80.0,650.0,35.0,491.25,549.1868989697466,749.8875,736.8084019947099,594.5083333333333,656.1595945809266,2.275
2022-06-05,565.0,6,2,2022,22,1,262.0,80.0,1200.0,548.0,495.42170588971294,643.2375000000001,738.1244144790213,607.1750000000001,647.3644247323844,1.1564885496183206
2022-06-12,80.0,6,2,2022,23,2,565.0,262.0,650.0,389.25,265.01996780118327,673.8625000000001,727.807770809022,646.7583333333333,627.0707042320352,-0.8584070796460177
2022-06-19,165.0,6,2,2022,24,3,80.0,565.0,80.0,246.75,228.8571242791898,636.8625000000001,752.2278965797899,586.7583333333333,645.2572671681686,1.0625
2022-06-26,700.0,6,2,2022,25,4,165.0,80.0,262.0,268.0,211.50098502530386,379.625,403.3250860038311,589.2583333333333,643.4032984603801,3.242424242424242
2022-07-03,10692.0,7,3,2022,26,1,700.0,165.0,565.0,377.5,301.5653605218503,462.75,390.4747110889484,554.6583333333333,623.4018847615417,14.274285714285714
2022-07-10,95.0,7,3,2022,27,2,10692.0,700.0,80.0,2909.25,5195.752969172675,1649.25,3662.5333445581077,1418.9916666666668,2985.125171871763,-0.9911148522259633
2022-07-17,64.0,7,3,2022,28,3,95.0,10692.0,165.0,2913.0,5193.035014966361,1579.875,3689.323261114428,1395.575,2995.1360181968366,-0.3263157894736842
2022-07-24,880.0,7,3,2022,29,4,64.0,95.0,700.0,2887.75,5211.064662491406,1577.875,3690.256725002824,1215.6666666666667,3005.7438750539345,12.75
2022-07-31,675.0,7,3,2022,30,5,880.0,64.0,10692.0,2932.75,5186.594732256094,1655.125,3665.1588325551656,1286.0833333333333,2985.3986320798504,-0.23295454545454541
2022-08-07,545.0,8,3,2022,31,1,675.0,880.0,95.0,428.5,411.78351917806066,1668.875,3660.6885549618355,1242.3333333333333,2990.6171249223444,-0.19259259259259254
2022-08-14,10.0,8,3,2022,32,2,545.0,675.0,64.0,541.0,346.61313689280166,1727.0,3635.4608275391206,1233.5833333333333,2992.6606422541413,-0.981651376146789
2022-08-21,313.0,8,3,2022,33,3,10.0,545.0,880.0,527.5,371.539589635705,1707.625,3645.374169997603,1227.75,2995.1807996725797,30.3
